resume_id,category,relevant_jobs,review_status
16852973,HR,HR Manager,APPROVED
22323967,HR,HR Manager,APPROVED
33176873,HR,HR Manager,APPROVED
27018550,HR,HR Manager,APPROVED
17812897,HR,HR Manager,APPROVED
11592605,HR,HR Manager,APPROVED
25824789,HR,HR Manager,APPROVED
15375009,HR,HR Manager,APPROVED
11847784,HR,HR Manager,APPROVED
32896934,HR,HR Manager,APPROVED
29149998,HR,HR Manager,APPROVED
11480899,HR,HR Manager,APPROVED
23155093,HR,HR Manager,APPROVED
11763983,HR,HR Manager,APPROVED
27490876,HR,HR Manager,APPROVED
32977530,HR,HR Manager,APPROVED
93002334,HR,HR Manager,APPROVED
24184357,HR,HR Manager,APPROVED
73077810,HR,HR Manager,APPROVED
13879043,HR,HR Manager,APPROVED
30163002,HR,HR Manager,APPROVED
18827609,HR,HR Manager,APPROVED
25676643,HR,HR Manager,APPROVED
12786012,HR,HR Manager,APPROVED
87968870,HR,HR Manager,APPROVED
46258701,HR,HR Manager,APPROVED
14225422,HR,HR Manager,APPROVED
29297973,HR,HR Manager,APPROVED
18334783,HR,HR Manager,APPROVED
19717385,HR,HR Manager,APPROVED
49937469,HR,HR Manager,APPROVED
18316239,HR,HR Manager,APPROVED
17855844,HR,HR Manager,APPROVED
57667857,HR,HR Manager,APPROVED
17422560,HR,HR Manager,APPROVED
32947778,HR,HR Manager,APPROVED
23914451,HR,HR Manager,APPROVED
21265194,HR,HR Manager,APPROVED
51769822,HR,HR Manager,APPROVED
19616406,HR,HR Manager,APPROVED
41523474,HR,HR Manager,APPROVED
59962788,HR,HR Manager,APPROVED
86184722,HR,HR Manager,APPROVED
28419173,HR,HR Manager,APPROVED
18155310,HR,HR Manager,APPROVED
26780935,HR,HR Manager,APPROVED
34554248,HR,HR Manager,APPROVED
26202430,HR,HR Manager,APPROVED
19867922,HR,HR Manager,APPROVED
91930382,HR,HR Manager,APPROVED
30646367,HR,HR Manager,APPROVED
39650734,HR,HR Manager,APPROVED
72231872,HR,HR Manager,APPROVED
13520837,HR,HR Manager,APPROVED
18422164,HR,HR Manager,APPROVED
30862904,HR,HR Manager,APPROVED
52979663,HR,HR Manager,APPROVED
28828844,HR,HR Manager,APPROVED
21830565,HR,HR Manager,APPROVED
27523575,HR,HR Manager,APPROVED
39081840,HR,HR Manager,APPROVED
20925036,HR,HR Manager,APPROVED
15576950,HR,HR Manager,APPROVED
29564653,HR,HR Manager,APPROVED
14886205,HR,HR Manager,APPROVED
17412079,HR,HR Manager,APPROVED
16861758,HR,HR Manager,APPROVED
93112113,HR,HR Manager,APPROVED
15041689,HR,HR Manager,APPROVED
80162314,HR,HR Manager,APPROVED
20993320,HR,HR Manager,APPROVED
14640322,HR,HR Manager,APPROVED
26289308,HR,HR Manager,APPROVED
23408537,HR,HR Manager,APPROVED
28808263,HR,HR Manager,APPROVED
18084150,HR,HR Manager,APPROVED
26671167,HR,HR Manager,APPROVED
44476983,HR,HR Manager,APPROVED
16877897,HR,HR Manager,APPROVED
29091445,HR,HR Manager,APPROVED
25724495,HR,HR Manager,APPROVED
